,Elevation
0,401.2
1,402.0
2,399.4
3,399.5
4,395.4
5,394.6
6,395.1
7,393.3
8,392.7
9,393.9
10,396.2
11,402.5
12,415.1
13,421.3
14,423.3
15,422.0
16,399.1
17,395.0
18,392.1
19,396.0
20,389.9
21,391.3
22,393.4
23,391.5
24,395.0
25,395.7
26,400.2
27,400.2
28,395.0
29,394.7
30,393.8
31,392.4
32,389.2
33,389.8
34,389.9
35,360.0
36,358.8
37,359.0
38,354.0
39,354.5
40,352.3
41,344.0
42,352.0
43,352.1
44,352.0
45,344.9
46,345.6
47,341.9
48,345.9
49,345.8
50,345.8
51,345.9
52,347.0
53,346.5
54,342.0
55,345.0
56,347.0
57,349.3
58,350.0
59,352.6
60,351.6
61,354.0
62,358.8
63,360.7
64,364.5
65,366.8
66,364.0
67,365.5
68,365.5
69,367.8
70,363.5
71,363.5
72,363.7
73,362.0
74,361.7
75,360.6
76,359.8
77,359.0
78,360.2
79,360.0
80,363.0
81,363.0
82,360.0
83,362.2
84,364.8
85,364.5
86,367.0
87,367.0
88,378.5
89,378.8
90,367.3
91,365.1
92,365.1
93,359.6
94,359.6
95,360.5
96,362.2
97,363.4
98,363.0
99,362.9
100,364.0
101,366.0
102,368.4
103,367.7
104,366.4
105,365.0
106,365.8
107,365.8
108,368.1
109,380.5
110,376.7
111,385.0
112,388.4
113,390.6
114,390.0
115,392.0
116,381.3
117,374.9
118,377.5
119,376.4
120,361.9
121,358.5
122,359.9
123,361.8
124,362.0
125,363.0
126,386.4
127,390.0
128,390.0
129,388.4
130,372.5
131,372.3
132,377.0
133,376.6
134,382.9
135,387.4
136,360.9
137,360.4
138,362.2
139,363.5
140,365.5
141,370.6
142,358.5
143,356.3
144,358.9
145,359.0
146,372.6
147,376.0
148,371.2
149,371.9
150,366.5
151,364.1
152,360.0
153,353.0
154,351.0
155,348.5
156,341.7
157,341.4
158,341.3
159,348.2
160,347.4
161,357.2
162,351.4
163,349.8
164,341.2
165,335.8
166,335.6
167,334.7
168,330.5
169,338.0
170,337.3
171,339.0
172,339.0
173,335.0
174,337.7
175,339.1
176,341.0
177,340.2
178,330.5
179,329.6
180,323.1
181,318.7
182,315.8
183,311.7
184,329.1
185,328.6
186,322.1
187,320.6
188,335.8
189,331.2
190,329.1
191,326.6
192,321.0
193,321.0
194,319.1
195,324.0
196,310.2
197,323.9
198,327.3
199,327.3
200,327.9
201,334.4
202,342.5
203,376.8
204,363.9
205,362.1
206,354.3
207,357.4
208,352.2
209,354.5
210,361.4
211,348.3
212,349.0
213,349.0
214,348.8
215,348.7
216,344.0
217,335.8
218,335.3
219,327.8
220,328.9
221,334.7
222,331.4
223,333.9
224,333.5
225,328.2
226,324.8
227,330.2
228,357.1
229,354.9
230,354.8
231,348.3
232,344.5
233,344.3
234,344.7
235,350.7
236,340.9
237,336.9
238,338.6
239,333.9
240,339.8
241,367.7
242,347.0
243,347.5
244,347.8
245,360.2
246,361.0
247,356.5
248,355.0
249,355.0
250,359.9
251,359.9
252,358.2
253,358.2
254,375.9
255,413.9
256,403.2
257,400.3
258,401.9
259,401.2
