ID,LAT,LONG,Elevation,pH,EC(dSm-1),OC(gkg-1),CaCO3(gkg-1),S(mgkg-1),Zn(mgkg-1),Cu(mgkg-1),Fe(mgkg-1),Mn(mgkg-1),B(mgkg-1)
1,23.3725,79.56241667,401.2,5.78,0.21,4.53,10,18.86,1.96,4.6,79.04,84.02,1.69
2,23.37291667,79.56280556,402,5.16,0.13,5.74,10,16.78,1.56,2.64,65.34,58.36,3.91
3,23.37375,79.55980556,399.4,6.65,0.19,6.93,20,36.89,1.64,3.94,70.7,49.1,2.39
4,23.37391667,79.55838889,399.5,6.22,0.39,7.44,25,55.99,2.02,5,76.7,47.16,3.21
5,23.39027778,79.52444444,395.4,7.2,0.11,6.35,20,59.46,1.9,1.44,49.26,8.08,2
6,23.39027778,79.52358333,394.6,7.41,0.14,9.41,30,66.37,2.38,2.1,36.88,12.64,1.79
7,23.39044444,79.52430556,395.1,7.56,0.14,6.12,30,63.76,3.3,2.64,46.98,15.78,1.83
8,23.38622222,79.50841667,393.3,6.75,0.08,7.58,30,64.6,1.82,4.04,60.8,28.46,2.42
9,23.3865,79.50894444,392.7,7.25,0.08,4.65,5,17.56,2.84,2.2,29.06,13.62,2.06
10,23.38597222,79.50627778,393.9,7.78,0.09,3.69,50,6.6,1.84,1.34,20.42,10.54,2.92
11,23.38352778,79.49680556,396.2,7.35,0.26,6.04,5,16.02,1.14,2.5,37.3,12.18,1.4
12,23.37922222,79.48508333,402.5,7.37,0.13,7.58,40,13.62,1.34,3.6,69.04,15.32,1.73
13,23.37452778,79.47194444,415.1,5.27,0.14,4.67,35,19.65,1.36,1.78,64.8,63.76,1.85
14,23.35847222,79.43747222,421.3,5.39,0.08,5.25,10,13.37,1.58,1.04,83.12,61.76,3.1
15,23.35252778,79.43002778,423.3,6.16,0.06,4.77,55,19.91,1.34,1.8,70.58,48.96,1.59
16,23.33541667,79.40986111,422,7.1,0.59,5.99,35,60.6,1.52,2.26,45.24,18.7,2.57
17,23.33566667,79.40502778,399.1,6.01,0.06,7.03,15,14.12,1.88,2.26,75.04,42.76,2.07
18,23.32536111,79.396,395,7.68,0.07,3.8,25,9.21,0.56,1.12,12.82,8.04,1.67
19,23.32413889,79.39466667,392.1,7.98,0.1,5.1,50,9.69,0.52,1.04,12.04,6.5,1.55
20,23.30797222,79.37563889,396,7.12,0.05,3.51,25,4.51,1.02,0.66,15.02,9.64,1.06
21,23.29097222,79.343,389.9,6.92,0.08,6.04,30,12.87,0.72,1.36,57.42,71.02,4.31
22,23.29288889,79.31855556,391.3,7.2,0.1,5.01,25,4.51,0.72,1.62,23.58,20.58,1.17
23,23.29302778,79.31691667,393.4,7.05,0.11,6.98,50,9.21,0.9,2.92,72.58,49.8,1.16
24,23.29297222,79.31883333,391.5,6.79,0.2,4.53,25,24.64,0.7,1.64,25.48,24.16,1.26
25,23.29311111,79.31261111,395,7.65,0.1,7.58,35,12.75,1.58,2.22,31.08,12.46,1.85
26,23.29191667,79.32511111,395.7,7.97,0.22,7.91,55,8.37,0.64,1.16,14.68,14.64,2.42
27,23.29252778,79.29313889,400.2,6.3,0.22,5.77,10,61.5,0.94,2.28,51.4,38.08,1.32
28,23.29252778,79.29313889,400.2,6.45,0.12,7.33,25,8.97,1.26,2.7,79.12,45,2.29
29,23.28705556,79.31272222,395,6.65,0.11,8.2,30,6.48,1,2.16,50.02,32.76,1.23
30,23.28733333,79.31288889,394.7,6.75,0.06,6.2,25,10.78,0.98,2.94,73.34,33.9,1.53
31,23.29327778,79.31633333,393.8,7.15,0.15,6.48,25,16.4,0.9,1.36,27.4,13.76,2.67
32,23.29302778,79.32166667,392.4,6.85,0.26,6.3,45,11.51,0.98,1.66,30.54,27.22,1.07
